Minerals data file for Calpine CMHC-8
depthQ C P E Y L X A T (Qtz,Calcite,Pyrite,Epidote,pYrhotite,chLorite,aXinite,Actinolite,Tourmaline)
3660 r - t - - t - - -
3670 r - t - - t - - -
3680 - - t - - t - - -
3690 - - t - - t - - -
3700 t - t - - t - - -
3710 m r t - - t - - -
3720 m t m - - t - - -
3730 t r m - - t - - -
3740 t r m - - t - - -
3750 t - m - - t - - -
3760 t t m - - t - - -
3770 t t m - - t - - -
3780 r - t - - t - - -
3790 r - t - - t - - -
3800 r - t - - t - - -
3810 t t t - - t - - -
3820 t t t - - t - - -
3830 t t t - - t - - -
3840 r t t - - t - - -
3850 r r t - - t - - -
3860 - r r - - r - - -
3870 - r r - - r - - -
3880 m r t - - t - - -
3890 m r t - - t - - -
3900 m t t - - r - - -
3910 m t t - - r - - -
3920 m t r - - r - - -
3930 t r r - - r - - -
3940 t r r - - r - - -
3950 t t r - - r - - -
3960 t t r - - r - - -
3970 t t r - - r - - -
3980 t t r - - r - - -
3990 t r r - - r - - -
4000 r r r - - r - - -
4010 r t r - - r - - -
4020 r t r - - r - - -
4030 t r t - - - - - -
4040 r r r - - r - - -
4050 r r r - - r - - -
4050 r r r - - r - - - 
4060 r r r - - r - - - 
4070 r r r - - r - - - 
4080 r r r - - r - - -
4090 t t r - - r - - -
4100 m t r - - r - - -
4110 m t r - - r - - -
4120 t t r - - r - - -
4130 m m t - - t - - -
4140 m m t - - t - - -
4150 m m t - - t - - -
4160 m m t - - r - - -
4170 m t t - - r - - - 
4180 r r r - - r - - -
4190 c r r - - r - - - 
4200 t r r - - t - - -
4210 m t r - - t - - -
4220 t r r - - r - - -
4230 t m r - - t - - -
4240 t m r - - t - - - 
4250 - - - - - - - - - 
4260 t t r r - r - - -
4270 m t r t - r - - -
4280 m t r t - r - - -
4290 t t r r - r - - -
4300 t m r m - r - - -
4310 t m r t - r - - -
4320 t t r r - - - - -
4330 t t r r - - - - -
4340 t t r r - - - - -
4350 t t r r - - - - -
4360 m t t t r r - - -
4370 t t r r r r - - -
4380 t t r r - r - - -
4390 t t r - - - - - -
4400 t t r - - - - - -
4410 t r r - - r - - -
4420 t r r - - r - - -
4430 t - r - - - - - -
4440 t - r r - - - - -
4450 t t r - - - - - -
4460 t r r - - - - - -
4470 t r r r - - - - -
4480 t r r r - - - - -
4490 t r r r - - - - -
4500 t r r - - - - - -
4510 m r t t - - - - -
4520 t r r r - - - - -
4530 t r r r - - - - -
4540 t r r r - - - - -
4550 t r r r - - - - -
4560 t r r r - - - - -
4570 t r r t - r - - -
4580 t r r r - r - - -
4590 t t r r - r - - -
4600 t r r r - r - - -
4610 t r r t - r - - -
4620 t t r r - r - - -
4630 t t r r - r - - -
4640 t t r r - r - - -
4650 t t r r - r - - -
4660 t r r r - r - - -
4670 t r r r - r - - -
4680 c r r t - r - - -
4690 m r r t - t - - -
4700 m t r t - r - - -
4710 m t r t - r - - -
4720 t r r t - r - - -
4730 t r r t - r - - -
4740 m - r t - - - - -
4750 m - r t - - - - -
4760 m - r t - - - - -
4770 c - r t - - - - -
4780 c - r t - - - - -
4790 c - r t - - - - -
4800 t - r - - - - - -
4810 m - m t - t - - -
4820 m - t m - t - - -
4830 m - m c - t - - -
4840 t - t m - t - - -
4850 m - t m - t - - -
4860 m - t m - t - - -
4870 m - t t - t - - -
4880 m - t m - t - - -
4890 m - t t - t - - -
4900 m - t t - t - - -
4910 m - t t - r - - -
4920 t - t t - r - - -
4930 t - t t - r - - -
4940 t - m t - r - - -
4950 - - - - - - - - -
4960 t - m m - r - - -
4970 m - m m - r - - -
4980 m - m c t t - - -
4990 m - m m t t - - -
5000 m - m m t t - - -
5010 m - m m - t - - -
5020 m - t m r m - - -
5030 m - t m - m - - -
5040 m - t m - m - - -
5050 m - t m - m - - -
5060 m - t t - m - - -
5070 m - t t r m - - -
5080 m - t t r t - - -
5090 m - t t r t - - -
5100 t - t t r t - - -
5110 t - t r r t - - -
5120 t - t r r t - - -
