Calpine	GGC-5										
Depth	Q	C	P	E	Y	L	X	A	"T (Qtz,Calcite,Pyrite,Epidote,pYrhotite,chLorite,aXinite,Actinolite,Tourmaline)"		
2510	-	m	r	-	-	-	-	-	-		
2520	-	m	r	-	-	-	-	-	-		
2530	-	m	r	-	-	-	-	-	-		
2540	-	m	r	-	-	-	-	-	-		
2550	-	m	r	-	-	-	-	-	-		
2560	-	m	r	-	-	-	-	-	-		
2570	-	m	r	-	-	-	-	-	-		
2580	-	m	r	-	-	-	-	-	-		
2590	-	m	r	-	-	-	-	-	-		
2600	-	m	r	-	-	-	-	-	-		
2610	-	m	r	-	-	-	-	-	-		
2620	-	m	t	-	-	-	-	-	-		
2630	-	m	t	-	-	-	-	-	-		
2640	-	m	t	-	-	-	-	-	-		
2650	-	m	t	-	-	-	-	-	-		
2660	-	m	t	-	-	-	-	-	-		
2670	-	m	t	-	-	-	-	-	-		
2680	-	m	t	-	-	-	-	-	-		
2690	-	m	t	-	-	-	-	-	-		
2700	-	m	t	-	-	-	-	-	-		
2710	-	m	t	-	-	-	-	-	-		
2720	-	m	m	-	-	-	-	-	-		
2730	-	m	m	-	-	-	-	-	-		
2740	-	m	m	-	-	-	-	-	-		
2750	-	m	m	-	-	-	-	-	-		
2760	-	m	m	-	-	-	-	-	-		
2770	-	m	m	-	-	-	-	-	-		
2780	-	m	m	-	-	-	-	-	-		
2790	-	m	m	-	-	-	-	-	-		
2800	-	m	m	-	-	-	-	-	-		
2810	-	m	m	-	-	-	-	-	-		
2820	-	m	t	-	-	-	-	-	-		
2830	-	m	t	-	-	-	-	-	-		
2840	-	m	t	-	-	-	-	-	-		
2850	-	m	t	-	-	-	-	-	-		
2860	-	m	t	-	-	-	-	-	-		
2870	-	m	t	-	-	-	-	-	-		
2880	-	m	t	-	-	-	-	-	-		
2890	-	m	t	-	-	-	-	-	-		
2900	-	m	t	-	-	-	-	-	-		
2910	-	m	t	-	-	-	-	-	-		
2920	-	m	t	-	-	-	-	-	-		
2930	-	m	t	-	-	-	-	-	-		
2940	-	m	t	-	-	-	-	-	-		
